rank,tool2,known,Bray-Curtis distance,Completeness,F1 score,False negatives,False positives,Jaccard index,L1 norm error,Purity,Shannon diversity,Shannon equitability,Sum of abundances,Taxon counts,True positives,Unweighted UniFrac (CAMI),Unweighted UniFrac error,Weighted UniFrac (CAMI),Weighted UniFrac error
kingdom,Kraken2,90,0.00718399313536005,1,1,0,0,1,0.0143679862707201,1,,,,,2,,,,
kingdom,Kraken2,100,0.0070974820964424,1,1,0,0,1,0.0141949641928848,1,,,,,2,,,,
kingdom,sourmash,0,0.0046484918045419,1,1,0,0,1,0.0092969836090838,1,,,,,2,,,,
kingdom,sourmash,10,0.00573954995599565,1,1,0,0,1,0.0114790999119913,1,,,,,2,,,,
kingdom,sourmash,20,0.00745038161099629,1,1,0,0,1,0.0149007632219926,1,,,,,2,,,,
kingdom,sourmash,30,0.0206361872666697,1,1,0,0,1,0.0412723745333393,1,,,,,2,,,,
kingdom,sourmash,40,0.0122083442943744,1,1,0,0,1,0.0244166885887488,1,,,,,2,,,,
kingdom,sourmash,50,0.0169278352247092,1,1,0,0,1,0.0338556704494183,1,,,,,2,,,,
kingdom,sourmash,60,0.0173738938572139,1,1,0,0,1,0.0347477877144278,1,,,,,2,,,,
kingdom,sourmash,70,0.0221277190094356,1,1,0,0,1,0.0442554380188713,1,,,,,2,,,,
kingdom,sourmash,80,0.0184903155619285,0.7,0.8,0.6,0,0.7,0.0369806311238571,1,,,,,1.4,,,,
kingdom,sourmash,90,0.0154446856060742,1,1,0,0,1,0.0308893712121484,1,,,,,2,,,,
kingdom,sourmash,100,0.0152913608843212,0.7,0.8,0.6,0,0.7,0.0305827217686423,1,,,,,1.4,,,,
kingdom,Metabuli,0,0.00271893865772696,1,1,0,0,1,0.00543787731545391,1,,,,,2,,,,
kingdom,Metabuli,10,0.00679040186242725,1,1,0,0,1,0.0135808037248545,1,,,,,2,,,,
kingdom,Metabuli,20,0.00968550911869382,1,1,0,0,1,0.0193710182373877,1,,,,,2,,,,
kingdom,Metabuli,30,0.0175885051649523,1,1,0,0,1,0.0351770103299047,1,,,,,2,,,,
kingdom,Metabuli,40,0.00880524026814862,1,1,0,0,1,0.0176104805362972,1,,,,,2,,,,
kingdom,Metabuli,50,0.0110383178911568,1,1,0,0,1,0.0220766357823135,1,,,,,2,,,,
kingdom,Metabuli,60,0.0126499835242259,1,1,0,0,1,0.0252999670484518,1,,,,,2,,,,
kingdom,Metabuli,70,0.01045800843326,1,1,0,0,1,0.02091601686652,1,,,,,2,,,,
kingdom,Metabuli,80,0.00651086094574823,1,1,0,0,1,0.0130217218914965,1,,,,,2,,,,
kingdom,Metabuli,90,0.00469898772386878,1,1,0,0,1,0.00939797544773755,1,,,,,2,,,,
kingdom,Metabuli,100,0.00394804512889964,1,1,0,0,1,0.00789609025779928,1,,,,,2,,,,
kingdom,sylph,0,0.000152634887004383,1,1,0,0,1,0.000305269774008767,1,,,,,2,,,,
kingdom,sylph,10,0.00151387902283391,1,1,0,0,1,0.00302775804566782,1,,,,,2,,,,
kingdom,sylph,20,0.00365905928566935,1,1,0,0,1,0.0073181185713387,1,,,,,2,,,,
kingdom,sylph,30,0.015729086413818,1,1,0,0,1,0.0314581728276359,1,,,,,2,,,,
kingdom,sylph,40,0.00713635204668136,1,1,0,0,1,0.0142727040933627,1,,,,,2,,,,
kingdom,sylph,50,0.014497904051928,1,1,0,0,1,0.0289958081038561,1,,,,,2,,,,
kingdom,sylph,60,0.0241198427839602,1,1,0,0,1,0.0482396855679205,1,,,,,2,,,,
kingdom,sylph,70,0.0189896019620748,1,1,0,0,1,0.0379792039241496,1,,,,,2,,,,
kingdom,sylph,80,0.0167525039660926,0.9,0.933333333333333,0.2,0,0.9,0.0335050079321852,1,,,,,1.8,,,,
kingdom,sylph,90,0.0179851615597435,0.8,0.866666666666667,0.4,0,0.8,0.035970323119487,1,,,,,1.6,,,,
kingdom,sylph,100,0.0185034820964424,0.5,0.666666666666667,1,0,0.5,0.0370069641928848,1,,,,,1,,,,
