tool	community	rank	metric	value	tool2
sourmash	marine1	order	Bray-Curtis distance	0.179525577993852	sourmash
sourmash	marine1	family	Bray-Curtis distance	0.208855838531282	sourmash
sourmash	marine1	genus	Bray-Curtis distance	0.243854096586166	sourmash
sourmash	marine1	species	Bray-Curtis distance	0.289097498592632	sourmash
metabuli	marine1	kingdom	Bray-Curtis distance	0.00460777108747348	Metabuli
metabuli	marine1	phylum	Bray-Curtis distance	0.193883531070102	Metabuli
metabuli	marine1	class	Bray-Curtis distance	0.20625123100409	Metabuli
metabuli	marine1	order	Bray-Curtis distance	0.2469563927327	Metabuli
metabuli	marine1	family	Bray-Curtis distance	0.269340592226674	Metabuli
metabuli	marine1	genus	Bray-Curtis distance	0.354092560886796	Metabuli
metabuli	marine1	species	Bray-Curtis distance	0.529422950590324	Metabuli
sylph	marine1	kingdom	Bray-Curtis distance	4.61192213437511e-05	sylph
sylph	marine1	phylum	Bray-Curtis distance	0.00399333198164217	sylph
sylph	marine1	class	Bray-Curtis distance	0.00527752675910868	sylph
sylph	marine1	order	Bray-Curtis distance	0.00871624226212253	sylph
sylph	marine1	family	Bray-Curtis distance	0.0113239827072422	sylph
sylph	marine1	genus	Bray-Curtis distance	0.0144584503482864	sylph
sylph	marine1	species	Bray-Curtis distance	0.0197570938434248	sylph
metaphlan42	marine1	kingdom	Bray-Curtis distance	0.00062027951498205	MetaPhlAn v4.2
metaphlan42	marine1	phylum	Bray-Curtis distance	0.0579469440107051	MetaPhlAn v4.2
metaphlan42	marine1	class	Bray-Curtis distance	0.0715044639756608	MetaPhlAn v4.2
metaphlan42	marine1	order	Bray-Curtis distance	0.0871441413194621	MetaPhlAn v4.2
metaphlan42	marine1	family	Bray-Curtis distance	0.105103310594106	MetaPhlAn v4.2
metaphlan42	marine1	genus	Bray-Curtis distance	0.132140539241826	MetaPhlAn v4.2
metaphlan42	marine1	species	Bray-Curtis distance	0.198738858800321	MetaPhlAn v4.2
singlem	marine2	kingdom	Bray-Curtis distance	0.00231783252992035	SingleM
singlem	marine2	phylum	Bray-Curtis distance	0.0109246205225583	SingleM
singlem	marine2	class	Bray-Curtis distance	0.0135611891377228	SingleM
singlem	marine2	order	Bray-Curtis distance	0.0246453104935309	SingleM
singlem	marine2	family	Bray-Curtis distance	0.0302017286431614	SingleM
singlem	marine2	genus	Bray-Curtis distance	0.0467560904956827	SingleM
singlem	marine2	species	Bray-Curtis distance	0.144038878703616	SingleM
metaphlan	marine2	kingdom	Bray-Curtis distance	0.000734888574312469	MetaPhlAn
metaphlan	marine2	phylum	Bray-Curtis distance	0.0412048373504076	MetaPhlAn
metaphlan	marine2	class	Bray-Curtis distance	0.0924620759962923	MetaPhlAn
metaphlan	marine2	order	Bray-Curtis distance	0.11561443458072	MetaPhlAn
metaphlan	marine2	family	Bray-Curtis distance	0.139207392770197	MetaPhlAn
metaphlan	marine2	genus	Bray-Curtis distance	0.16284885813284	MetaPhlAn
metaphlan	marine2	species	Bray-Curtis distance	0.231008142110317	MetaPhlAn
kraken	marine2	kingdom	Bray-Curtis distance	0.00396381053281765	Kraken2
kraken	marine2	phylum	Bray-Curtis distance	0.0962537496129192	Kraken2
kraken	marine2	class	Bray-Curtis distance	0.116457135467033	Kraken2
kraken	marine2	order	Bray-Curtis distance	0.160188739123168	Kraken2
kraken	marine2	family	Bray-Curtis distance	0.188302109132932	Kraken2
kraken	marine2	genus	Bray-Curtis distance	0.194780513185378	Kraken2
kraken	marine2	species	Bray-Curtis distance	0.250367057212776	Kraken2
sourmash	marine2	kingdom	Bray-Curtis distance	0.00376249590947941	sourmash
sourmash	marine2	phylum	Bray-Curtis distance	0.106651800146793	sourmash
sourmash	marine2	class	Bray-Curtis distance	0.125401563267322	sourmash
sourmash	marine2	order	Bray-Curtis distance	0.181686973226407	sourmash
sourmash	marine2	family	Bray-Curtis distance	0.205006765370756	sourmash
sourmash	marine2	genus	Bray-Curtis distance	0.241600819294255	sourmash
sourmash	marine2	species	Bray-Curtis distance	0.285507761956832	sourmash
metabuli	marine2	kingdom	Bray-Curtis distance	0.00368137556543592	Metabuli
metabuli	marine2	phylum	Bray-Curtis distance	0.13413080589126	Metabuli
metabuli	marine2	class	Bray-Curtis distance	0.158698275142961	Metabuli
metabuli	marine2	order	Bray-Curtis distance	0.248513185948283	Metabuli
metabuli	marine2	family	Bray-Curtis distance	0.307708833219144	Metabuli
metabuli	marine2	genus	Bray-Curtis distance	0.461429807742748	Metabuli
metabuli	marine2	species	Bray-Curtis distance	0.677081254299434	Metabuli
sylph	marine2	kingdom	Bray-Curtis distance	2.53045347932984e-05	sylph
sylph	marine2	phylum	Bray-Curtis distance	0.00925439773696097	sylph
sylph	marine2	class	Bray-Curtis distance	0.011271845252851	sylph
sylph	marine2	order	Bray-Curtis distance	0.0133018034458062	sylph
sylph	marine2	family	Bray-Curtis distance	0.0151447612688181	sylph
sylph	marine2	genus	Bray-Curtis distance	0.0173751684661694	sylph
sylph	marine2	species	Bray-Curtis distance	0.0245768192814116	sylph
