tool	community	rank	metric	value	tool2
sourmash	marine7	kingdom	Bray-Curtis distance	0.00563040297875852	sourmash
sourmash	marine7	phylum	Bray-Curtis distance	0.127198578995393	sourmash
sourmash	marine7	class	Bray-Curtis distance	0.134511862139897	sourmash
sourmash	marine7	order	Bray-Curtis distance	0.165452282611429	sourmash
sourmash	marine7	family	Bray-Curtis distance	0.189231224350139	sourmash
sourmash	marine7	genus	Bray-Curtis distance	0.226907825963499	sourmash
sourmash	marine7	species	Bray-Curtis distance	0.277457244144104	sourmash
metabuli	marine7	kingdom	Bray-Curtis distance	0.00518070156646742	Metabuli
metabuli	marine7	phylum	Bray-Curtis distance	0.200037190332406	Metabuli
metabuli	marine7	class	Bray-Curtis distance	0.222152626236897	Metabuli
metabuli	marine7	order	Bray-Curtis distance	0.318733717296945	Metabuli
metabuli	marine7	family	Bray-Curtis distance	0.36856725705193	Metabuli
metabuli	marine7	genus	Bray-Curtis distance	0.499479765398324	Metabuli
metabuli	marine7	species	Bray-Curtis distance	0.677202431171694	Metabuli
sylph	marine7	kingdom	Bray-Curtis distance	7.29768843083589e-05	sylph
sylph	marine7	phylum	Bray-Curtis distance	0.00994567579675817	sylph
sylph	marine7	class	Bray-Curtis distance	0.0100946363803512	sylph
sylph	marine7	order	Bray-Curtis distance	0.011474130117029	sylph
sylph	marine7	family	Bray-Curtis distance	0.0128113431108423	sylph
sylph	marine7	genus	Bray-Curtis distance	0.0150032911325296	sylph
sylph	marine7	species	Bray-Curtis distance	0.0241195647140133	sylph
metaphlan42	marine7	kingdom	Bray-Curtis distance	0.00378293882619842	MetaPhlAn v4.2
metaphlan42	marine7	phylum	Bray-Curtis distance	0.109211346086166	MetaPhlAn v4.2
metaphlan42	marine7	class	Bray-Curtis distance	0.127527649547181	MetaPhlAn v4.2
metaphlan42	marine7	order	Bray-Curtis distance	0.189124721713438	MetaPhlAn v4.2
metaphlan42	marine7	family	Bray-Curtis distance	0.209447138730605	MetaPhlAn v4.2
metaphlan42	marine7	genus	Bray-Curtis distance	0.268210395264411	MetaPhlAn v4.2
metaphlan42	marine7	species	Bray-Curtis distance	0.332524956473922	MetaPhlAn v4.2
singlem	marine8	kingdom	Bray-Curtis distance	0.00244427239157361	SingleM
singlem	marine8	phylum	Bray-Curtis distance	0.0124707610660082	SingleM
singlem	marine8	class	Bray-Curtis distance	0.0136070283951521	SingleM
singlem	marine8	order	Bray-Curtis distance	0.025399206518903	SingleM
singlem	marine8	family	Bray-Curtis distance	0.0309896066331239	SingleM
singlem	marine8	genus	Bray-Curtis distance	0.0444699278308973	SingleM
singlem	marine8	species	Bray-Curtis distance	0.120733654548504	SingleM
metaphlan	marine8	kingdom	Bray-Curtis distance	0.00313590604325265	MetaPhlAn
metaphlan	marine8	phylum	Bray-Curtis distance	0.0327431679276606	MetaPhlAn
metaphlan	marine8	class	Bray-Curtis distance	0.0525205926179235	MetaPhlAn
metaphlan	marine8	order	Bray-Curtis distance	0.0712455115618793	MetaPhlAn
metaphlan	marine8	family	Bray-Curtis distance	0.0786691386831175	MetaPhlAn
metaphlan	marine8	genus	Bray-Curtis distance	0.0967422790332852	MetaPhlAn
metaphlan	marine8	species	Bray-Curtis distance	0.140346998308372	MetaPhlAn
kraken	marine8	kingdom	Bray-Curtis distance	0.00779290604325264	Kraken2
kraken	marine8	phylum	Bray-Curtis distance	0.143878073613785	Kraken2
kraken	marine8	class	Bray-Curtis distance	0.156612743422126	Kraken2
kraken	marine8	order	Bray-Curtis distance	0.190095066500986	Kraken2
kraken	marine8	family	Bray-Curtis distance	0.217941457154692	Kraken2
kraken	marine8	genus	Bray-Curtis distance	0.239374022824063	Kraken2
kraken	marine8	species	Bray-Curtis distance	0.254092656651111	Kraken2
sourmash	marine8	kingdom	Bray-Curtis distance	0.00757897642448427	sourmash
sourmash	marine8	phylum	Bray-Curtis distance	0.150485790708799	sourmash
sourmash	marine8	class	Bray-Curtis distance	0.16135029691173	sourmash
sourmash	marine8	order	Bray-Curtis distance	0.208355040499249	sourmash
sourmash	marine8	family	Bray-Curtis distance	0.233715627374056	sourmash
sourmash	marine8	genus	Bray-Curtis distance	0.270398619542076	sourmash
sourmash	marine8	species	Bray-Curtis distance	0.316772750124676	sourmash
metabuli	marine8	kingdom	Bray-Curtis distance	0.00948962631348562	Metabuli
metabuli	marine8	phylum	Bray-Curtis distance	0.177263099525728	Metabuli
metabuli	marine8	class	Bray-Curtis distance	0.197115573893223	Metabuli
metabuli	marine8	order	Bray-Curtis distance	0.257997204857867	Metabuli
metabuli	marine8	family	Bray-Curtis distance	0.275866976543055	Metabuli
metabuli	marine8	genus	Bray-Curtis distance	0.396113529967645	Metabuli
metabuli	marine8	species	Bray-Curtis distance	0.530657874262205	Metabuli
sylph	marine8	kingdom	Bray-Curtis distance	0.000385893439953104	sylph
sylph	marine8	phylum	Bray-Curtis distance	0.0039569193965479	sylph
sylph	marine8	class	Bray-Curtis distance	0.00445062232204744	sylph
sylph	marine8	order	Bray-Curtis distance	0.00853940981576305	sylph
sylph	marine8	family	Bray-Curtis distance	0.010540922669842	sylph
sylph	marine8	genus	Bray-Curtis distance	0.0136790376095405	sylph
sylph	marine8	species	Bray-Curtis distance	0.0180799846596341	sylph
metaphlan42	marine8	kingdom	Bray-Curtis distance	0.00313591780884328	MetaPhlAn v4.2
metaphlan42	marine8	phylum	Bray-Curtis distance	0.0327441503407947	MetaPhlAn v4.2
metaphlan42	marine8	class	Bray-Curtis distance	0.0525205471636399	MetaPhlAn v4.2
metaphlan42	marine8	order	Bray-Curtis distance	0.0712452214474714	MetaPhlAn v4.2
metaphlan42	marine8	family	Bray-Curtis distance	0.0786688237963294	MetaPhlAn v4.2
metaphlan42	marine8	genus	Bray-Curtis distance	0.0967419309784436	MetaPhlAn v4.2
metaphlan42	marine8	species	Bray-Curtis distance	0.140347254086807	MetaPhlAn v4.2
singlem	marine9	kingdom	Bray-Curtis distance	0.00280457497431486	SingleM
singlem	marine9	phylum	Bray-Curtis distance	0.0274307779960349	SingleM
singlem	marine9	class	Bray-Curtis distance	0.028311891460816	SingleM
singlem	marine9	order	Bray-Curtis distance	0.037458022839719	SingleM
singlem	marine9	family	Bray-Curtis distance	0.0409413371340179	SingleM
singlem	marine9	genus	Bray-Curtis distance	0.0548664717974122	SingleM
singlem	marine9	species	Bray-Curtis distance	0.150311001539348	SingleM
metaphlan	marine9	kingdom	Bray-Curtis distance	0.00589779688738613	MetaPhlAn
metaphlan	marine9	phylum	Bray-Curtis distance	0.103328435708399	MetaPhlAn
metaphlan	marine9	class	Bray-Curtis distance	0.108120009676345	MetaPhlAn
metaphlan	marine9	order	Bray-Curtis distance	0.142477269081277	MetaPhlAn
metaphlan	marine9	family	Bray-Curtis distance	0.155966256719549	MetaPhlAn
metaphlan	marine9	genus	Bray-Curtis distance	0.181148958618172	MetaPhlAn
metaphlan	marine9	species	Bray-Curtis distance	0.255759153518258	MetaPhlAn
kraken	marine9	kingdom	Bray-Curtis distance	0.00864539464865644	Kraken2
kraken	marine9	phylum	Bray-Curtis distance	0.147925772205381	Kraken2
kraken	marine9	class	Bray-Curtis distance	0.149894574764333	Kraken2
kraken	marine9	order	Bray-Curtis distance	0.188282570909822	Kraken2
kraken	marine9	family	Bray-Curtis distance	0.204062918754605	Kraken2
kraken	marine9	genus	Bray-Curtis distance	0.219114274850094	Kraken2
kraken	marine9	species	Bray-Curtis distance	0.280743653440708	Kraken2
sourmash	marine9	kingdom	Bray-Curtis distance	0.00574912958841543	sourmash
sourmash	marine9	phylum	Bray-Curtis distance	0.158049256591522	sourmash
sourmash	marine9	class	Bray-Curtis distance	0.161991587697403	sourmash
sourmash	marine9	order	Bray-Curtis distance	0.209202721353653	sourmash
sourmash	marine9	family	Bray-Curtis distance	0.22677031590151	sourmash
sourmash	marine9	genus	Bray-Curtis distance	0.261259349608046	sourmash
sourmash	marine9	species	Bray-Curtis distance	0.304331596159991	sourmash
metabuli	marine9	kingdom	Bray-Curtis distance	0.00922598788292084	Metabuli
metabuli	marine9	phylum	Bray-Curtis distance	0.197469470837614	Metabuli
metabuli	marine9	class	Bray-Curtis distance	0.2048559533897	Metabuli
metabuli	marine9	order	Bray-Curtis distance	0.257069150209673	Metabuli
metabuli	marine9	family	Bray-Curtis distance	0.283707430646544	Metabuli
metabuli	marine9	genus	Bray-Curtis distance	0.368034511789824	Metabuli
metabuli	marine9	species	Bray-Curtis distance	0.575025546180394	Metabuli
sylph	marine9	kingdom	Bray-Curtis distance	0.000525263907871889	sylph
sylph	marine9	phylum	Bray-Curtis distance	0.00274663631781158	sylph
sylph	marine9	class	Bray-Curtis distance	0.003422553118128	sylph
sylph	marine9	order	Bray-Curtis distance	0.00541477055013126	sylph
sylph	marine9	family	Bray-Curtis distance	0.0069524349429426	sylph
sylph	marine9	genus	Bray-Curtis distance	0.0099237949308968	sylph
sylph	marine9	species	Bray-Curtis distance	0.0356046228008557	sylph
metaphlan42	marine9	kingdom	Bray-Curtis distance	0.0058977968873862	MetaPhlAn v4.2
metaphlan42	marine9	phylum	Bray-Curtis distance	0.103328435708399	MetaPhlAn v4.2
metaphlan42	marine9	class	Bray-Curtis distance	0.108120009676345	MetaPhlAn v4.2
metaphlan42	marine9	order	Bray-Curtis distance	0.142477269081277	MetaPhlAn v4.2
metaphlan42	marine9	family	Bray-Curtis distance	0.155966256719549	MetaPhlAn v4.2
metaphlan42	marine9	genus	Bray-Curtis distance	0.181148958618172	MetaPhlAn v4.2
metaphlan42	marine9	species	Bray-Curtis distance	0.255759153518258	MetaPhlAn v4.2
