tool	community	known	dom	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
sylph	sample4	10	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	50	10	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	50	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	70	10	kingdom	0.04	0.5	0.666666666666667	1	0	0.5	0.08	1					1
sylph	sample4	70	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	100	10	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	100	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	10	10	kingdom	0.00146284376828558	0.5	0.666666666666667	1	0	0.5	0.00292568753657116	1					1
sylph	sample5	10	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	50	10	kingdom	0.000365710942071359	0.5	0.666666666666667	1	0	0.5	0.000731421884142718	1					1
sylph	sample5	50	50	kingdom	0.0424969815756529	1	1	0	0	1	0.0849939631513059	1					2
sylph	sample5	70	10	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	70	50	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	100	10	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	100	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	0	10	phylum	0.0560079954311822	1	1	0	0	1	0.108394584139265	1	1.83030706377197	0.794892257984709	0.935341254490191	10	10
SingleM	sample4	0	50	phylum	0.0426820747110991	1	1	0	0	1	0.0842658177477118	1	1.46001298875486	0.75029825475943	0.974267144183579	7	7
SingleM	sample4	10	10	phylum	0.0317517740364547	1	1	0	0	1	0.0625034237195288	1	1.87107835514153	0.851564457471119	0.968501780334155	9	9
SingleM	sample4	10	50	phylum	0.0264915368991199	1	1	0	0	1	0.0525137565427461	1	1.19995145887791	0.745571761176614	0.982284257146692	5	5
SingleM	sample4	50	10	phylum	0.0712529659395331	1	1	0	0	1	0.141391251518834	1	1.77478078433934	0.853489145410465	0.984356014580802	8	8
SingleM	sample4	50	50	phylum	0.0316754654070575	1	1	0	0	1	0.0625943719972546	1	1.52944745677724	0.735508753730919	0.9761153054221	8	8
SingleM	sample4	70	10	phylum	0.0337408184679958	1	1	0	0	1	0.066954711087975	1	1.76407543534599	0.848340960775901	0.984383133784487	8	8
SingleM	sample4	70	50	phylum	0.0280138584458742	1	1	0	0	1	0.0556929997188641	1	1.36420847887927	0.701064475942814	0.9880517289851	7	7
SingleM	sample4	100	10	phylum	0.0211601731601731	1	1	0	0	1	0.0422556190982842	1	1.40513414027446	0.873058929094908	0.99694108259077	5	5
SingleM	sample4	100	50	phylum	0.0242870094547339	1	1	0	0	1	0.0481870743929077	1	1.26689930141951	0.787168794541109	0.984067840164461	5	5
SingleM	sample5	0	10	phylum	0.0633184244424226	1	0.761904761904762	0	5	0.615384615384615	0.12235585231233	0.615384615384615	0.902299351389658	0.351780571715708	0.9323894015018	13	8
SingleM	sample5	0	50	phylum	0.0119614707990037	1	1	0	0	1	0.0239091305028491	1	0.708104806542127	0.439970253634199	0.998845368149924	5	5
SingleM	sample5	10	10	phylum	0.00425575577982961	1	1	0	0	1	0.00849722849853388	1	0.665442354360557	0.371390449325908	0.996643825006823	6	6
SingleM	sample5	10	50	phylum	0.00538657087592322	1	1	0	0	1	0.0107594227979117	1	0.816879465492567	0.589253976935077	0.997453119201298	4	4
SingleM	sample5	50	10	phylum	0.00226868399393561	1	1	0	0	1	0.00452978209247552	1	0.870028153971842	0.447106026141144	0.996656257365072	7	7
SingleM	sample5	50	50	phylum	0.00108382734345262	1	1	0	0	1	0.00216565970866797	1	0.359865610305433	0.200844821241812	0.998159320993967	6	6
SingleM	sample5	70	10	phylum	0.0050488456007688	1	1	0	0	1	0.0100786050851684	1	0.902252653573538	0.503556793793453	0.996219706864026	6	6
SingleM	sample5	70	50	phylum	0.00178015458332134	1	1	0	0	1	0.00355820607672416	1	0.653312680942561	0.364620749694728	0.998818591408738	6	6
SingleM	sample5	100	10	phylum	0.00418735237611519	1	1	0	0	1	0.00836997209225487	1	0.76198671806693	0.549657229689209	0.998869772698732	4	4
SingleM	sample5	100	50	phylum	0.00176837478289773	1	1	0	0	1	0.00353228042972536	1	0.681376511471479	0.423363030165588	0.99747274383614	5	5
SingleM dev	sample4	0	10	phylum	0.354341463414634	0.6	0.75	4	0	0.6	0.523267540700187	1	1.00634013740902	0.561649124613015	0.476732459299813	6	6
SingleM dev	sample4	0	50	phylum	0.251588528250043	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.402030735455543	1	0.784812700342309	0.438012307913422	0.597969264544457	6	6
SingleM dev	sample4	10	10	phylum	0.351324634242784	0.666666666666667	0.8	3	0	0.666666666666667	0.519970738844184	1	0.920283472894265	0.513619985661776	0.480029261155816	6	6
SingleM dev	sample4	10	50	phylum	0.148858880202164	0.8	0.8	1	1	0.666666666666667	0.259964142876845	0.8	0.897136342781698	0.557422150833316	0.746379809681423	5	4
SingleM dev	sample4	50	10	phylum	0.286900182223122	0.75	0.857142857142857	2	0	0.75	0.44587791063562	1	1.13648147450868	0.634282387801926	0.55412208936438	6	6
SingleM dev	sample4	50	50	phylum	0.233754829645241	0.625	0.769230769230769	3	0	0.625	0.378932384341637	1	0.897552552867279	0.557680756699604	0.621067615658363	5	5
SingleM dev	sample4	70	10	phylum	0.203197650705604	0.875	0.933333333333333	1	0	0.875	0.337762711864407	1	1.29505694789157	0.665527618795908	0.662237288135593	7	7
SingleM dev	sample4	70	50	phylum	0.211589113257243	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.349275362318841	1	0.782007998793483	0.436446974174718	0.65072463768116	6	6
SingleM dev	sample4	100	10	phylum	0.172214182344428	1	1	0	0	1	0.293827160493827	1	1.1604686828189	0.721039733097759	0.706172839506173	5	5
SingleM dev	sample4	100	50	phylum	0.17975320286096	1	1	0	0	1	0.30473017988008	1	0.941956892168649	0.585270723953583	0.69526982011992	5	5
